Symbol,Name,Latest,Change,%Change,Volume,"3M #Hi","3M %/High","3M %/Low",Time
INV,"Innventure Inc",7.04,0.89,+14.47%,2708885,20,-3.77%,+172.90%,"15:28 ET"
INVE,"Identiv Inc",5.27,0.24,+4.77%,82907,14,-0.76%,+68.28%,"15:27 ET"
IONQ,"Ionq Inc",52.7,4.7,+9.79%,33170100,11,-2.00%,+102.47%,"15:29 ET"
IREN,"Iren Limited",60.74,6,+10.96%,48393080,11,-1.34%,+96.94%,"15:29 ET"
IRM,"Iron Mountain Inc",132.6,0.90000000000001,+0.68%,941984,16,-1.58%,+38.89%,"15:28 ET"
ITT,"ITT Inc",219.51,6.82,+3.21%,738931,10,-2.63%,+23.07%,"15:29 ET"
JAZZ,"Jazz Pharma Plc",226.65,14.39,+6.78%,1469266,18,-1.73%,+40.22%,"15:29 ET"
JBL,"Jabil Circuit",371.38,34.12,+10.12%,1390077,21,-0.08%,+57.12%,"15:29 ET"
JCTC,"Jewett-Cameron Trading Company Ltd",2.03,0.04,+2.01%,35457,4,-6.45%,+31.82%,"14:58 ET"
JLHL,"Julong Holding Limited Cl A",26.2,5.15,+24.47%,44866,7,-4.73%,+543.73%,"15:22 ET"
JOB,"General Employment Enterprises",0.2684,0.0352,+15.09%,2922101,8,-3.52%,+37.24%,"15:12 ET"
KALU,"Kaiser Aluminum",182.15,6.23,+3.54%,108169,9,-0.71%,+72.06%,"15:28 ET"
KALV,"Kalvista Pharmaceuticals Inc",26.75,0.039999999999999,+0.15%,5028179,19,-0.32%,+88.12%,"15:27 ET"
KBDC,"Kayne Anderson Bdc Inc",15.44,0.33,+2.18%,691512,10,-1.41%,+16.12%,"15:27 ET"
KEEL,"Keel Infrastructure Corp",4.13,0.6,+17.00%,46256886,12,-0.37%,+125.91%,"15:29 ET"
KEYS,"Keysight Technologies Inc",365.72,9.79,+2.75%,397417,24,-0.27%,+59.95%,"15:28 ET"
KGS,"Kodiak Gas Services Inc",71.79,0.89,+1.26%,1280078,28,-0.18%,+45.78%,"15:29 ET"
KLIC,"Kulicke and Soffa",93.13,1.74,+1.90%,741210,11,-1.78%,+57.81%,"15:27 ET"
KMT,"Kennametal Inc",43.4,5.89,+15.70%,2425067,5,-0.79%,+28.94%,"15:29 ET"
KN,"Knowles Corp",33.92,0.64,+1.92%,713471,16,-1.88%,+43.12%,"15:28 ET"
KOPN,"Kopin Corp",4.84,0.09,+1.89%,7819740,20,-2.65%,+163.81%,"15:29 ET"
KRSP,"Rice Acquisition Corporation 3 Cl A",10.38,0,-0.04%,16091,8,-0.13%,+1.23%,"14:59 ET"
KTCC,"Key Tronic Corp",3.12,0.22,+7.59%,46271,4,-4.60%,+18.70%,"14:54 ET"
KVHI,"K V H Inds Inc",10.83,1.4,+14.85%,326941,18,-3.65%,+85.68%,"15:18 ET"
LAC,"Lithium Americas Corp",5.99,0.47,+8.51%,14445679,8,-1.48%,+63.39%,"15:29 ET"
LAMR,"Lamar Advertis A",141.82,3.3,+2.38%,434598,9,-0.35%,+15.51%,"15:29 ET"
LAR,"Lithium Argentina Ag",11.34,0.95,+9.14%,4075821,15,-1.43%,+100.97%,"15:29 ET"
LEDS,"Semileds Corp",2,0.18,+9.89%,107783,8,-3.81%,+100.00%,"15:13 ET"
LFMD,"Lifemd Inc",5.34,0.21,+4.09%,909691,7,-1.86%,+105.86%,"15:28 ET"
LFUS,"Littelfuse Inc",437.6,14.8,+3.50%,483001,19,-4.72%,+54.38%,"15:29 ET"
LFVN,"Lifevantage Corp",5.95,0.46,+8.38%,548359,9,-3.77%,+50.51%,"15:21 ET"
LGN,"Legence Corp. Cl A",99.87,0.49000000000001,+0.49%,902254,28,-1.29%,+122.62%,"15:28 ET"
LIFE,"Ethos Technologies Inc Cl A",22.88,1.83,+8.69%,577207,19,-1.43%,+140.74%,"15:22 ET"
LINC,"Lincoln Educational",44.33,-0.76,-1.69%,350651,22,-2.65%,+72.48%,"15:28 ET"
LIND,"Lindblad Expd Holdings",21.9,1.43,+6.99%,736084,6,-0.41%,+37.03%,"15:29 ET"
LION,"Lionsgate Studios Corp",12.64,0.040000000000001,+0.32%,1992643,13,-1.01%,+62.29%,"15:29 ET"
LIXT,"Lixte Biotech Hlds",4.49,0.0049999999999999,+0.11%,92656,11,-8.19%,+77.00%,"15:26 ET"
LQDT,"Liquidity Services",37.18,0.089999999999996,+0.24%,98736,15,-1.38%,+33.20%,"15:26 ET"
LRCX,"Lam Research Corp",297.39,21.59,+7.83%,9059468,13,-1.02%,+51.44%,"15:29 ET"
LTH,"Life Time Group Holdings Inc",33.33,3.95,+13.44%,4411480,3,-0.33%,+32.22%,"15:29 ET"
LUMN,"Lumen Technologies Inc",9.87,0.64,+6.93%,19914295,11,-0.47%,+52.39%,"15:29 ET"
LYV,"Live Nation Entertainment",167.42,10.16,+6.46%,3734669,8,-0.75%,+20.06%,"15:29 ET"
MANE,"Veradermics Incorporated",108.35,-6.45,-5.62%,573285,25,-5.71%,+204.69%,"15:28 ET"
MARA,"Mara Holdings Inc",12.97,0.81,+6.66%,43048904,14,-0.46%,+81.77%,"15:29 ET"
MASS,"908 Devices Inc",8.11,1.02,+14.39%,467152,5,-1.66%,+40.35%,"15:29 ET"
MATX,"Matson Inc",184.4,-2.86,-1.53%,133098,11,-2.59%,+28.54%,"15:25 ET"
MCHP,"Microchip Technology",102.06,3.58,+3.64%,7261609,10,-1.23%,+71.20%,"15:29 ET"
MDIA,"Mediaco Holding Inc Cl A",0.9663,0.0662,+7.35%,72248,21,-2.40%,+80.80%,"15:10 ET"
MEC,"Mayville Engineering Company",22.28,-0.47,-2.07%,194412,7,-6.78%,+34.18%,"15:25 ET"
MEGL,"Magic Empire Global Limited",1.13,-0.0035,-0.31%,121205,11,-18.71%,+29.89%,"14:52 ET"
MESH,"Meshflow Acquisition Corp. Cl A",9.95,0.01,+0.10%,41433,9,0.00%,+0.86%,"14:43 ET"
MET,"Metlife Inc",80.62,0.72,+0.90%,1592052,8,-1.18%,+19.75%,"15:29 ET"
MFC,"Manulife Financial Corp",39.93,0.61,+1.55%,709368,9,-0.35%,+22.56%,"15:29 ET"
MFIC,"Midcap Financial Investment Corp",12.03,-0.2,-1.64%,528818,11,-1.71%,+27.00%,"15:29 ET"
MLI,"Mueller Industries",138.88,8.03,+6.14%,321297,10,-0.85%,+29.51%,"15:28 ET"
MLR,"Miller Industries",49.285,-0.415,-0.84%,96599,8,-1.03%,+19.36%,"15:04 ET"
MLSS,"Milestone Scientific",0.4122,0.0142,+3.57%,833944,12,-0.95%,+73.25%,"15:09 ET"
MMI,"Marcus & Millichap",29.15,0.48,+1.67%,90781,9,-0.61%,+19.61%,"15:28 ET"
MOD,"Modine Manufacturing Company",273.91,2.31,+0.85%,697491,12,-2.26%,+51.22%,"15:28 ET"
MP,"MP Materials Corp",72.83,4.77,+7.01%,6901636,9,-1.17%,+62.60%,"15:29 ET"
MRVI,"Maravai Lifesciences Holdings Inc Cl A",3.88,0.03,+0.78%,2866459,7,-2.91%,+36.96%,"15:26 ET"
MRVL,"Marvell Technology Inc",171.34,2.59,+1.53%,15801929,23,-3.54%,+125.39%,"15:29 ET"
MS,"Morgan Stanley",193.59,4.34,+2.29%,3236261,5,-0.80%,+26.44%,"15:29 ET"
MSBI,"Midland Sts BNC",27.53,0.45,+1.66%,113773,7,-3.07%,+40.07%,"15:26 ET"
MSM,"Msc Industrial Direct Company",105.07,2.06,+2.00%,241665,9,-1.07%,+23.21%,"15:29 ET"
MSN,"Emerson Radio Corp",0.4177,-0.0113,-2.63%,101958,6,-12.58%,+21.29%,"15:06 ET"
MTRN,"Materion Corp",195.1,-1.82,-0.92%,231012,10,-3.16%,+50.93%,"15:29 ET"
MTRX,"Matrix Service Company",13.78,-0.15,-1.08%,262545,16,-2.35%,+39.07%,"15:28 ET"
MTSI,"Macom Technology S",309.99,6.42,+2.11%,1017684,20,-1.45%,+56.22%,"15:29 ET"
MTX,"Minerals Technologies Inc",79.56,0.56,+0.71%,189160,7,-1.90%,+22.51%,"15:27 ET"
MTZ,"Mastec Inc",428.45,-9.06,-2.07%,729797,31,-2.74%,+66.29%,"15:29 ET"
MU,"Micron Technology",662.71,22.51,+3.52%,45002142,15,-1.46%,+111.21%,"15:29 ET"
NBIS,"Nebius Group N.V. Cl A",195.35,19.43,+11.04%,15733075,19,-0.53%,+144.64%,"15:29 ET"
NBIX,"Neurocrine Bioscienc",145.56,10.5,+7.77%,1478736,3,-2.31%,+19.16%,"15:29 ET"
NBTX,"Nanobiotix S.A. ADR",42.25,7.48,+21.51%,117795,11,-0.38%,+89.13%,"15:08 ET"
NEUP,"Neuphoria Therapeutics Inc",5.39,-0.005,-0.09%,23821,14,-1.10%,+40.36%,"14:48 ET"
NEXA,"Nexa Resources S.A.",16.66,0.67,+4.19%,1029424,7,-1.25%,+88.24%,"15:29 ET"
NGL,"Ngl Energy Partners LP",15.64,-0.77,-4.69%,216572,13,-6.09%,+43.85%,"15:19 ET"
NGNE,"Neurogene Inc",32.55,3.61,+12.47%,250754,9,-3.48%,+96.60%,"15:29 ET"
NGVT,"Ingevity Corp",78,0.90000000000001,+1.17%,121090,8,-1.33%,+24.36%,"15:28 ET"
NMM,"Navios Maritime Partners LP",73.21,-3.47,-4.53%,166442,11,-5.89%,+25.75%,"15:24 ET"
NPCE,"Neuropace Inc",18.38,1.34,+7.86%,231306,8,-0.79%,+46.79%,"15:19 ET"
NPO,"Enpro Inc",306.81,6.71,+2.24%,112049,10,-1.11%,+31.01%,"15:18 ET"
NREF,"Nexpoint Real Estate Finance Inc",15.52,0.24,+1.57%,56365,6,-0.61%,+22.82%,"15:29 ET"
NTWK,"Netsol Tech Inc",3.9,0.41,+11.75%,189856,5,-0.74%,+30.72%,"15:25 ET"
NUE,"Nucor Corp",235.12,3.05,+1.31%,616803,11,-0.36%,+50.75%,"15:28 ET"
NVCT,"Nuvectis Pharma Inc",9.99,0.28,+2.88%,93978,5,-1.40%,+37.52%,"15:29 ET"
NVGS,"Navigator Holdings",22.36,-0.23,-1.02%,421531,19,-4.22%,+26.15%,"15:27 ET"
NVT,"Nvent Electric Plc",171.21,1.8,+1.06%,1790003,20,-1.77%,+67.40%,"15:29 ET"
NXPI,"Nxp Semiconductors",302.32,9.97,+3.41%,2118799,9,-0.83%,+62.71%,"15:29 ET"
NYAX,"Nayax Ltd",74.14,1.64,+2.26%,23818,17,-0.44%,+47.43%,"15:21 ET"
ODC,"Oil-Dri Corp of America",75.89,1.18,+1.58%,28092,14,-0.40%,+27.63%,"15:21 ET"
OEC,"Orion S.A.",8.29,-0.02,-0.24%,369458,10,-0.24%,+84.99%,"15:29 ET"
OGN,"Organon & Co.",13.4,0.050000000000001,+0.37%,5449624,13,-0.04%,+135.41%,"15:29 ET"
OLPX,"Olaplex Holdings Inc",2.04,0,0.00%,1793117,28,-0.25%,+73.93%,"15:16 ET"
OMDA,"Omada Health Inc",15.87,0.22,+1.41%,641651,16,-1.31%,+53.70%,"15:26 ET"
OOMA,"Ooma Inc",18.51,-0.15,-0.80%,198412,18,-1.54%,+67.88%,"15:29 ET"
OPHC,"Optimumbank Hlds",5.56,-0.03,-0.54%,59209,7,-0.18%,+15.94%,2026-05-06
OPLN,"Openlane Inc",35.61,0.25,+0.71%,926776,14,-2.21%,+38.63%,"15:28 ET"
ORCL,"Oracle Corp",192.31,6.96,+3.76%,21384231,9,-0.66%,+42.80%,"15:29 ET"
ORN,"Orion Group Holdings Inc",15.03,-0.43,-2.78%,364347,4,-4.55%,+54.77%,"15:28 ET"
OSCR,"Oscar Health Inc Cl A",19.85,1.91,+10.65%,14848352,15,-0.90%,+85.41%,"15:29 ET"
OSPN,"Onespan Inc",11.89,-0.06,-0.50%,389906,7,-1.94%,+18.12%,"15:27 ET"
OSS,"One Stop Systems Inc",15.52,5.75,+58.85%,15627265,9,-6.02%,+122.24%,"15:29 ET"
OUT,"Outfront Media Inc",32.17,1.08,+3.47%,481469,15,-0.03%,+29.03%,"15:28 ET"
PACK,"Ranpak Holdings Corp",6.28,0.37,+6.26%,1284064,2,-4.15%,+93.48%,"15:26 ET"
PDEX,"Pro-Dex Inc",58.7,2.7,+4.82%,21662,20,-1.64%,+57.14%,"15:11 ET"
PEB,"Pebblebrook Hotel Trust",14.68,0.36,+2.51%,2725966,12,-0.85%,+26.30%,"15:28 ET"
PENG,"Penguin Solutions Inc",38.73,2.28,+6.26%,4599557,24,-2.11%,+142.02%,"15:28 ET"
PFG,"Principal Financial Group Inc",101.62,0.75,+0.74%,456074,5,-1.37%,+19.48%,"15:29 ET"
PFIS,"Peoples Finl Svcs Company",58.84,1.89,+3.32%,38052,9,-1.49%,+17.40%,"15:16 ET"
PGC,"Peapack Gladstone FI",43.02,0.050000000000004,+0.12%,50397,16,-1.78%,+32.79%,"15:26 ET"
PKX,"Posco Holdings Inc ADR",88.32,3,+3.52%,195751,16,-0.65%,+58.67%,"15:29 ET"
PLAB,"Photronics Inc",51.95,0.95,+1.86%,458543,16,-2.04%,+63.27%,"15:29 ET"
PLPC,"Preformed Line Prd",363.62,4.96,+1.38%,119065,15,-1.68%,+63.94%,"15:29 ET"
PLXS,"Plexus Corp",265.06,-0.05,-0.02%,277680,14,-3.74%,+47.29%,"15:26 ET"
POM,"Pomdoctor Limited ADR",0.49,0.0954,+24.18%,1749619,8,-14.04%,+153.89%,"15:18 ET"
POWI,"Power Integratn",77.91,0.83,+1.08%,886547,18,-2.27%,+73.59%,"15:25 ET"
POWL,"Powell Industries Inc",321.67,26.98,+9.16%,800397,16,-0.46%,+105.99%,"15:29 ET"
PPSI,"Pioneer Power Solutions",4.3,0.05,+1.18%,296709,2,-3.79%,+83.40%,"15:28 ET"
PRCH,"Porch Group Inc",11,-0.23,-2.05%,1600622,7,-4.44%,+67.63%,"15:29 ET"
PRLB,"Proto Labs Inc",68.75,1.06,+1.57%,90498,4,-0.67%,+28.04%,"15:23 ET"
PRPO,"Precipio Inc",30.75,-1.62,-5.00%,25590,19,-7.97%,+58.56%,"15:26 ET"
PSO,"Pearson Plc ADR",15.16,0.0099999999999998,+0.07%,1296320,25,-1.97%,+26.11%,"15:28 ET"
PSTL,"Postal Realty Trust Cl A",22.77,0.36,+1.61%,215236,17,-2.04%,+26.86%,"15:28 ET"
PTRN,"Pattern Group Inc Series A",14.05,0.040000000000001,+0.29%,1498496,9,-2.27%,+58.97%,"15:28 ET"
PWR,"Quanta Services",784.3,12.69,+1.64%,799704,26,-0.77%,+55.31%,"15:29 ET"
PXS,"Pyxis Tankers",4.6,-0.23,-4.76%,61571,11,-7.88%,+43.43%,"15:14 ET"
PYXS,"Pyxis Oncology Inc",2.355,0.525,+28.69%,1327584,11,-0.64%,+84.92%,"15:28 ET"
Q,"Qnity Electronics Inc",148.51,2.04,+1.39%,1102412,11,-1.54%,+52.65%,"15:29 ET"
QBTS,"D-Wave Quantum Inc",23.79,2.25,+10.45%,31231996,6,-1.33%,+86.04%,"15:29 ET"
QCOM,"Qualcomm Inc",193.47,6.92,+3.71%,22499344,12,-2.38%,+57.88%,"15:29 ET"
QMCO,"Quantum Corp",9.97,1.7,+20.56%,2044335,12,-5.08%,+141.05%,"15:28 ET"
QUBT,"Quantum Computing Inc",10.35,0.79,+8.26%,14958036,9,-0.63%,+66.99%,"15:29 ET"
QUIK,"Quicklogic Corp",18.7,0.51,+2.80%,488660,22,-1.16%,+185.11%,"15:22 ET"
RAL,"Ralliant Corporation",47.15,0.7,+1.51%,772292,13,-1.43%,+21.54%,"15:29 ET"
RARE,"Ultragenyx Pharmaceu",26.1,1.09,+4.36%,2475574,6,-4.23%,+42.32%,"15:29 ET"
RBC,"RBC Bearings Inc",620.28,27.16,+4.58%,127302,18,-1.29%,+19.80%,"15:21 ET"
RBCAA,"Republic Bancorp Inc",76.94,0.45999999999999,+0.60%,62420,6,-1.15%,+15.35%,"15:22 ET"
RHP,"Ryman Hospitality Properties REIT",111.32,3.18,+2.94%,441447,7,-0.27%,+23.92%,"15:28 ET"
RIO,"Rio Tinto Plc ADR",105.88,5.38,+5.35%,3352898,6,-0.11%,+27.89%,"15:29 ET"
RIOT,"Riot Platforms Inc",23.31,2.96,+14.55%,28530996,14,-0.70%,+104.04%,"15:29 ET"
RLJ,"Rlj Lodging Trust",8.76,-0.01,-0.11%,2745194,7,-2.13%,+22.55%,"15:29 ET"
RLMD,"Relmada Therapeutics Inc",7.82,0.47,+6.39%,580675,11,-2.50%,+126.09%,"15:29 ET"
RMR,"The Rmr Grp A",19.72,0.22,+1.13%,183489,6,-1.78%,+28.68%,"15:27 ET"
RNGT,"Range Capital Acquisition Corp II Cl A",10.03,0.01,+0.10%,50100,8,-0.30%,+1.31%,"12:26 ET"
ROG,"Rogers Corp",142.1,3.92,+2.84%,362230,18,-1.07%,+46.58%,"15:17 ET"
ROK,"Rockwell Automation Inc",458.97,23.04,+5.29%,690199,5,-2.00%,+30.69%,"15:29 ET"
ROKU,"Roku Inc",128.12,3.71,+2.98%,1472853,19,-0.77%,+62.42%,"15:29 ET"
RPRX,"Royalty Pharma Plc Cl A",50.89,0.45,+0.89%,1986977,18,-1.68%,+19.48%,"15:29 ET"
RRX,"Regal Rexnord Corp",232.89,10.87,+4.90%,1184134,4,-2.23%,+33.61%,"15:28 ET"
RS,"Reliance Inc",377.61,5.57,+1.50%,236244,8,-0.77%,+30.29%,"15:29 ET"
RUM,"Rumble Inc",7.95,0.64,+8.76%,2153546,8,-0.77%,+67.54%,"15:29 ET"
RY,"Royal Bank of Canada",181.92,3.44,+1.93%,436479,7,-0.19%,+15.81%,"15:29 ET"
SAH,"Sonic Automotive",79.81,1.02,+1.29%,150363,14,-2.23%,+47.33%,"15:25 ET"
SANM,"Sanmina Corp",233.64,11.75,+5.30%,1035823,12,-1.70%,+96.96%,"15:29 ET"
SB,"Safe Bulkers Inc",6.89,-0.22,-3.09%,311450,14,-4.17%,+23.99%,"15:22 ET"
SBUX,"Starbucks Corp",107.18,2.24,+2.13%,4911840,7,-0.37%,+25.18%,"15:29 ET"
SCSC,"Scansource Inc",41.58,-0.65,-1.54%,166080,13,-2.07%,+23.43%,"15:28 ET"
SEAT,"Vivid Seats Inc Cl A",7.76,0.6,+8.38%,163891,5,-11.68%,+46.44%,"15:28 ET"
SFL,"Ship Finance International",11.72,-0.11,-0.93%,961877,18,-1.14%,+29.03%,"15:28 ET"
SHAZ,"Sharonai Holdings Inc",52.65,8.3,+18.71%,628295,12,-4.69%,+211.72%,"15:28 ET"
SHO,"Sunstone Hotel Investors",10.28,0.26,+2.59%,669862,13,-0.87%,+15.52%,"15:28 ET"
SILA,"Sila Realty Trust Inc",30.59,0.16,+0.53%,1734593,10,-0.11%,+33.54%,"15:19 ET"
SITM,"Sitime Corp",619.77,23.13,+3.88%,403826,14,-1.18%,+101.55%,"15:29 ET"
SKIL,"Skillsoft Corp",8.18,-0.44,-5.10%,112760,4,-5.82%,+140.82%,"15:27 ET"
SLF,"Sun Life Financial Inc",73.78,0.57000000000001,+0.78%,365033,13,-0.12%,+21.05%,"15:29 ET"
SLG,"SL Green Realty Corp",44.9,1.16,+2.65%,756289,5,-1.43%,+28.88%,"15:29 ET"
SLNO,"Soleno Therapeutics Inc",52.94,0.019999999999996,+0.04%,1366009,16,-0.03%,+79.83%,"15:29 ET"
SLP,"Simulations Plus Inc",15.6,-0.11,-0.70%,2004981,5,-11.63%,+38.01%,"15:27 ET"
SLQT,"Selectquote Inc",1.185,-0.055,-4.44%,3076532,3,-16.91%,+105.22%,"15:27 ET"
SMSI,"Smith Micro Software",0.88,-0.013,-1.46%,169603,13,-5.18%,+113.93%,"15:24 ET"
SMTC,"Semtech Corp",119.45,6.47,+5.73%,1768060,9,-1.51%,+71.27%,"15:29 ET"
SNDK,"Sandisk Corp",1409.62,3.3,+0.23%,18417632,23,-3.09%,+169.87%,"15:29 ET"
SNEX,"Stonex Group Inc",106.71,-1.35,-1.25%,420026,14,-3.42%,+56.51%,"15:28 ET"
SNX,"Synnex Corp",234.02,-0.7,-0.30%,333708,20,-0.74%,+58.08%,"15:28 ET"
SPB,"Spectrum Brands Holdings Inc",85.26,2.88,+3.50%,291723,13,-0.03%,+26.30%,"15:29 ET"
SPCB,"Supercom Ltd",10.575,0.695,+7.03%,217047,10,-3.03%,+53.75%,"15:12 ET"
SQM,"Sociedad Quimica Y Minera S.A. ADR",94.21,1.57,+1.69%,1036323,11,-1.60%,+43.23%,"15:25 ET"
SRTA,"Strata Critical Medical Inc",5.33,0.51,+10.58%,1918266,7,-5.14%,+35.44%,"15:25 ET"
ST,"Sensata Technologies Holding N.V.",45.48,2.66,+6.21%,2184278,18,-0.25%,+45.75%,"15:29 ET"
STBA,"S&T Bancorp Inc",44.37,-0.4,-0.89%,247408,7,-1.91%,+13.71%,"15:28 ET"
STFS,"Star Fashion Culture Holdings Limited Cl A",8.04,4.01,+99.50%,4981722,5,-12.13%,+832.50%,"15:29 ET"
STLD,"Steel Dynamics Inc",243.29,5.83,+2.46%,511180,10,-0.16%,+49.45%,"15:29 ET"
STM,"Stmicroelectronics N.V. ADR",57.89,0.71,+1.24%,9085959,21,-0.34%,+89.98%,"15:29 ET"
STRL,"Sterling Infrastructure Inc",881.75,75.75,+9.40%,984520,13,-0.83%,+140.39%,"15:29 ET"
STVN,"Stevanato Group S.P.A.",18.83,0.62,+3.40%,231046,7,-1.01%,+44.61%,"15:29 ET"
STWD,"Starwood Property Trust",18.36,0.099999999999998,+0.55%,1260279,8,-1.00%,+8.31%,"15:25 ET"
SUIG,"Sui Group Holdings Ltd",1.76,0.09,+5.39%,365704,12,-1.96%,+61.01%,"15:25 ET"
SVCO,"Silvaco Group Inc",12.43,0.38,+3.15%,360605,25,-0.92%,+303.42%,"15:27 ET"
SVRE,"Saverone 2014 Ltd ADR",5.94,0.55,+10.20%,112791,12,-2.57%,+175.45%,"15:09 ET"
SYNA,"Synaptics Inc",107.46,3.17,+3.04%,817557,7,-2.20%,+64.50%,"15:29 ET"
TALK,"Talkspace Inc",5.2,0,0.00%,759268,11,-0.10%,+41.17%,"15:22 ET"
TBI,"Trueblue Inc",6.13,0.09,+1.49%,553324,5,-6.00%,+97.17%,"15:28 ET"
TBLA,"Taboola.com Ltd",4.68,0.87,+22.83%,6995114,9,-0.88%,+58.38%,"15:28 ET"
TD,"Toronto Dominion Bank",108.98,3.04,+2.87%,658304,17,-0.10%,+19.49%,"15:29 ET"
TDOC,"Teladoc Health Inc",6.79,0.13,+1.95%,2914439,8,-0.81%,+53.52%,"15:26 ET"
TEAD,"Teads Holding CO",1.15,0.2195,+23.59%,915472,11,0.00%,+107.02%,"15:26 ET"
TEVA,"Teva Pharmaceutical Industries ADR",36.34,0.48,+1.34%,3865521,7,-0.64%,+29.91%,"15:29 ET"
TG,"Tredegar Corp",10.25,0.48,+4.91%,102175,6,-0.10%,+44.21%,"15:23 ET"
TGEN,"Tecogen Inc",5.36,0.42,+8.50%,372761,8,-1.81%,+179.38%,"15:14 ET"
TGTX,"Tg Therapeutics",41.48,5.38,+14.90%,5102519,15,-0.83%,+55.98%,"15:29 ET"
THR,"Thermon Group Holdings Inc",68.27,-1.49,-2.14%,886378,9,-3.88%,+57.47%,"15:28 ET"
TIC,"Tic Solutions Inc",10.18,0.68,+7.16%,5074010,3,-2.43%,+60.69%,"15:29 ET"
TKNO,"Alpha Teknova Inc",3.6,-0.14,-3.74%,82832,21,-5.45%,+90.58%,"15:27 ET"
TKR,"Timken Company",120.17,10.54,+9.61%,1386955,5,-2.20%,+28.34%,"15:27 ET"
TLN,"Talen Energy Corporation",407.45,22.55,+5.86%,890886,10,-1.31%,+35.16%,"15:29 ET"
TNC,"Tennant Company",87.62,4.99,+6.04%,204280,8,-0.88%,+44.86%,"15:17 ET"
TOPP,"Toppoint Holdings Inc",0.9999,0.0699,+7.52%,44377,6,-10.92%,+46.25%,"15:06 ET"
TPC,"Tutor Perini Corp",96.43,-0.88,-0.90%,451341,9,-2.99%,+44.72%,"15:29 ET"
TRDA,"Entrada Therapeutics Inc",16.19,0.44,+2.79%,294559,22,-0.25%,+59.43%,"15:28 ET"
TRIN,"Trinity Capital Inc",17.33,0.36,+2.12%,1458931,8,-0.06%,+22.68%,"15:27 ET"
TROW,"T Rowe Price Group",106.41,2.3,+2.21%,1362064,12,-0.74%,+24.54%,"15:29 ET"
TRS,"Trimas Corp",41.8,0.34,+0.82%,245033,10,-1.81%,+26.05%,"15:27 ET"
TRST,"Trustco Bank Corp NY",48.55,0.47,+0.98%,47630,12,-0.64%,+15.80%,"15:27 ET"
TRVG,"Trivago NV ADR",3.24,0.36,+12.50%,514835,2,-4.41%,+25.48%,"15:24 ET"
TSEM,"Tower Semiconductor",214.9,-10.63,-4.71%,1711473,16,-6.42%,+100.81%,"15:29 ET"
TSHA,"Taysha Gene Therapies Inc",6.91,-0.03,-0.43%,3021919,15,-6.16%,+69.98%,"15:29 ET"
TSM,"Taiwan Semiconductor ADR",418.77,24.36,+6.18%,13993247,9,-0.38%,+32.85%,"15:29 ET"
TSSI,"Tss Inc",17.27,1.37,+8.62%,1360799,10,-1.12%,+131.33%,"15:25 ET"
TWLO,Twilio,190.1,-5.48,-2.80%,1925699,19,-3.23%,+80.84%,"15:29 ET"
TX,"Ternium S.A. ADR",48.85,4.74,+10.75%,875724,4,-1.65%,+32.35%,"15:25 ET"
TXN,"Texas Instruments",292.12,11.12,+3.96%,5006360,8,-0.26%,+57.51%,"15:29 ET"
UBER,"UBER Technologies Inc",79.65,6.7,+9.18%,25898543,8,-0.60%,+15.50%,"15:29 ET"
UBS,"UBS Group Ag ADR",45.26,1.16,+2.63%,1751175,3,-0.77%,+24.47%,"15:28 ET"
UCTT,"Ultra Clean Holdings",83.24,0.099999999999994,+0.12%,858004,15,-5.53%,+71.29%,"15:29 ET"
UFCS,"United Fire Group",43.51,3.66,+9.18%,99721,6,-1.99%,+22.48%,"15:23 ET"
UG,"United Guardian Inc",6.83,-0.22,-3.12%,24963,4,-8.81%,+12.15%,"14:56 ET"
UIS,"Unisys Corp",3.17,0.33,+11.62%,1248150,7,-0.93%,+59.42%,"15:28 ET"
ULS,"Ul Solutions Inc Cl A",103.39,-1.35,-1.29%,993411,20,-3.82%,+50.48%,"15:28 ET"
UMC,"United Microelectronics Corp ADR",15.24,1.23,+8.78%,20738437,12,-1.75%,+82.99%,"15:29 ET"
UNCY,"Unicycive Therapeutics Inc",8.16,0.08,+0.99%,586064,12,-2.62%,+35.87%,"15:24 ET"
UNFI,"United Nat Foods",51.65,0.33,+0.64%,360988,13,-1.54%,+48.88%,"15:29 ET"
UNM,"Unumprovident Corp",80.61,-0.22,-0.27%,598024,11,-1.67%,+17.02%,"15:29 ET"
USAR,"USA Rare Earth Inc",28.39,0.97,+3.54%,14308803,9,-0.28%,+105.19%,"15:29 ET"
USEA,"United Maritime Corp",2.35,0.07,+3.07%,63189,10,-1.06%,+39.28%,"15:08 ET"
UTHR,"United Therapeutic",594.52,22.32,+3.90%,420402,7,-2.35%,+28.11%,"15:28 ET"
UVSP,"Univest Corp of Penn",38.58,0.019999999999996,+0.05%,74978,8,-1.29%,+22.56%,"15:26 ET"
VABK,"Virginia Natl Bnk",45.3,1.7,+3.90%,3090,5,-1.12%,+17.80%,"15:27 ET"
VCTR,"Victory Capital Holdings Inc Cl A",82.28,1.02,+1.26%,357720,8,-0.91%,+35.62%,"15:29 ET"
VCYT,"Veracyte Inc",41.38,8.41,+25.51%,1658174,5,-0.32%,+38.99%,"15:29 ET"
VECO,"Veeco Instrument",61.59,12.05,+24.32%,4831525,18,-6.26%,+119.54%,"15:29 ET"
