Symbol,Name,Latest,Change,%Change,Volume,"3M #Lo","3M %/High","3M %/Low",Time
EHGO,"Eshallgo Inc Cl A",1.88,-0.17,-8.29%,33800,15,-53.00%,+23.68%,2026-05-06
EJH,"E-Home Household Service Holdings Ltd",1.49,-0.07,-4.49%,13000,23,-93.79%,+2.76%,2026-05-06
EMBC,"Embecta Corp",3.56,-0.34,-8.72%,8495300,14,-67.34%,+0.28%,2026-05-06
ENSG,"The Ensign Group IN",175.93,-0.02,-0.01%,653400,10,-19.30%,+0.98%,2026-05-06
EP,"Empire Petroleum Corp",2.72,-0.05,-1.81%,58647,15,-32.00%,+2.26%,2026-05-06
EPAM,"Epam Systems Inc",106.97,-2.67,-2.44%,1889952,19,-44.81%,+0.32%,2026-05-06
EPOW,"E-Power Inc",0.6,-0.1427,-19.21%,3936300,7,-44.44%,+5.26%,2026-05-06
FE,"Firstenergy Corp",45.55,-0.33,-0.72%,8966014,4,-12.97%,+0.53%,2026-05-06
FINW,"Finwise Bancorp",13.59,-0.09,-0.62%,16700,19,-25.19%,+2.18%,2026-05-06
FKWL,"Franklin Wireless Co.",3.51,-0.1,-2.77%,16200,11,-17.97%,+1.74%,2026-05-06
FLNA,"Filana Therapeutics Inc",1.44,0.06,+4.35%,476900,20,-42.17%,+6.67%,2026-05-06
FLUT,"Flutter Entertainment Plc",99.11,-4.22,-4.08%,7005992,12,-36.85%,+1.19%,2026-05-06
FSP,"Franklin Street Properties",0.5351,-0.036,-6.30%,740909,14,-41.84%,+0.77%,2026-05-06
FTCI,"Ftc Solar Inc",4,0.55,+15.94%,498000,15,-61.50%,+25.00%,2026-05-06
GAIA,"Gaiam Inc",2.5,-0.06,-2.34%,140300,11,-28.98%,+2.25%,2026-05-06
GALT,"Galectin Therapeutic",2.25,0.02,+0.90%,382900,7,-35.71%,+3.21%,2026-05-06
GAUZ,"Gauzy Ltd",0.431,-0.029,-6.30%,125700,12,-56.90%,+2.62%,2026-05-06
GBLI,"Global Indemnity Plc",26.79,-0.41,-1.51%,16100,8,-10.70%,+4.51%,2026-05-06
GDC,"Gd Culture Group Ltd",1.24,-4.75,-79.30%,17801799,9,-84.84%,+4.20%,2026-05-06
GEL,"Genesis Energy LP",16.42,-0.42,-2.49%,272195,3,-11.91%,+0.98%,2026-05-06
GELS,"Gelteq Limited",0.4455,-0.1145,-20.45%,176500,11,-48.82%,+1.53%,2026-05-06
GFL,"Gfl Environmental Inc",36.39,-0.6,-1.62%,3362191,11,-21.44%,+0.61%,2026-05-06
GIC,"Global Industrial Co.",29.75,-3.09,-9.41%,181215,13,-13.72%,+3.48%,2026-05-06
GIG,"Gigcapital7 Corp. Cl A",7,-1.32,-15.87%,85400,3,-34.88%,+1.01%,2026-05-06
GLIBA,"Gci Liberty Inc Series A Gci",33.25,-0.37,-1.10%,38200,13,-20.59%,+0.06%,2026-05-06
GLIBK,"Gci Liberty Inc Series C Gci",32.97,-0.13,-0.39%,417500,15,-19.93%,+0.46%,2026-05-06
GMM,"Global Mofy AI Limited",1.25,-0.09,-6.72%,5303300,6,-32.43%,+30.21%,2026-05-06
GNL,"Global Net Lease Inc",9.03,-0.12,-1.31%,3974575,10,-10.02%,+1.12%,2026-05-06
GOCO,"Gohealth Inc Cl A",1.01,-0.02,-1.94%,79700,20,-59.11%,+1.00%,2026-05-06
GOLF,"Acushnet Holdings Corp",85.95,-7.84,-8.36%,857889,9,-17.99%,+1.02%,2026-05-06
GPCR,"Structure Therapeutics Inc",40.84,-0.26,-0.63%,867200,26,-49.67%,+0.52%,2026-05-06
GPOR,"Gulfport Energy Corp",180.44,-14.79,-7.58%,527311,10,-18.29%,+0.08%,2026-05-06
GWRS,"Global Water Reso",7.01,-0.02,-0.28%,90400,13,-24.70%,+0.72%,2026-05-06
HAE,"Haemonetics Corp",52.67,-2.95,-5.30%,1273780,5,-20.31%,+0.32%,2026-05-06
HCKT,"Hackett Grp Inc",10.21,-3.68,-26.49%,1377900,10,-36.58%,+7.70%,2026-05-06
HII,"Huntington Ingalls Industries",319.54,-6.59,-2.02%,938399,11,-30.53%,+2.75%,2026-05-06
HKIT,"Hitek Global Inc Ordinary Share",0.749,0.0093,+1.26%,230600,21,-99.32%,+11.38%,2026-05-06
HPAI,"Helport AI Limited",1.15,-0.09,-7.26%,111500,21,-66.18%,0.00%,2026-05-06
HSCS,"Heartsciences Inc",1.81,-0.22,-10.84%,74400,24,-44.31%,+0.56%,2026-05-06
HUBC,"Hub Cyber Security Ltd",0.328,-0.027,-7.61%,4917300,37,-99.77%,+14.29%,2026-05-06
HURN,"Huron Consulting",120.11,-12.11,-9.16%,660300,6,-29.40%,+6.81%,2026-05-06
IDYA,"Ideaya Biosciences Inc",28.74,-0.06,-0.21%,879000,10,-24.57%,+3.27%,2026-05-06
IMTE,"Integrated Media Technology",0.5299,0.0099,+1.90%,3800,12,-31.18%,+5.98%,2026-05-06
INNV,"Innovage Holding Corp",8.12,0.16,+2.01%,561000,6,-24.04%,+14.69%,2026-05-06
IPW,"Ipower Inc",0.831,-0.009,-1.07%,1223600,27,-82.24%,+3.75%,2026-05-06
IVF,"Invo Fertility Inc",1.81,-0.08,-4.23%,38500,28,-71.16%,+0.56%,2026-05-06
J,"Jacobs Engineering Group Inc",126.62,-9.93,-7.27%,3839015,8,-17.29%,+6.21%,2026-05-06
JAGX,"Jaguar Health Inc",2.82,-0.19,-6.31%,238500,21,-91.89%,+11.46%,2026-05-06
JKHY,"Jack Henry & Assoc",142.88,-6.46,-4.33%,1932700,9,-19.21%,+0.75%,2026-05-06
JNJ,"Johnson & Johnson",224.62,-0.93,-0.41%,7982250,14,-10.76%,+0.75%,2026-05-06
JRVR,"James River Group Hldgs Inc",4.51,-0.18,-3.84%,995900,9,-37.43%,+1.92%,2026-05-06
KIDZ,"Classover Holdings Inc Cl B",0.666,-0.0738,-9.98%,763900,31,-95.76%,+11.00%,2026-05-06
KITT,"Nauticus Robotics Inc",2.19,0.07,+3.30%,589300,27,-77.74%,+3.30%,2026-05-06
KLRS,"Kalaris Therapeutics Inc",5.06,-0.24,-4.53%,106100,14,-54.88%,0.00%,2026-05-06
KR,"Kroger Company",66.01,-0.91,-1.36%,4484043,9,-13.80%,+1.04%,2026-05-06
KVYO,"Klaviyo Inc Series A",15.81,-7.52,-32.23%,20093917,5,-32.78%,+3.27%,2026-05-06
LBRDA,"Liberty Broadband Corp Sr A",36.61,-0.25,-0.68%,519100,17,-38.21%,+1.05%,2026-05-06
LBRDK,"Liberty Broadband Corp Sr C",36.55,-0.41,-1.11%,1647500,15,-38.29%,+0.41%,2026-05-06
LCTX,"Lineage Cell Therapeutics Inc",1.43,-0.03,-2.05%,805832,11,-27.96%,+2.14%,2026-05-06
LDI,"Loandepot Inc Cl A",1.4,-0.09,-6.04%,3939886,24,-35.63%,+12.90%,2026-05-06
LDOS,"Leidos Holdings Inc",134.9,-2.29,-1.67%,2230509,18,-31.17%,+4.29%,2026-05-06
LFT,"Lument Finance Trust Inc",1.16,0,0.00%,139082,12,-20.55%,+0.87%,2026-05-06
LHX,"L3Harris Technologies Inc",302.2,-0.45,-0.15%,2282429,11,-20.31%,+1.06%,2026-05-06
LMT,"Lockheed Martin Corp",514.26,5.33,+1.05%,1590382,13,-25.68%,+2.79%,2026-05-06
LNKS,"Linkers Industries Limited Cl A",1.58,-0.02,-1.25%,110300,15,-99.59%,+4.64%,2026-05-06
LPX,"Louisiana-Pacific Corp",72.49,2.74,+3.93%,2735523,17,-27.76%,+8.71%,2026-05-06
LUCK,"Lucky Strike Entertainment Corp",7.66,-0.09,-1.16%,165706,2,-16.83%,+17.85%,2026-05-06
MCD,"McDonald's Corp",284.1,-1.07,-0.38%,4807877,20,-16.87%,+0.60%,2026-05-06
MCK,"Mckesson Corp",743.67,-57.34,-7.16%,2877160,15,-25.56%,+1.07%,2026-05-06
MDLN,"Medline Inc Cl A",42.01,-3.31,-7.30%,18289400,9,-17.43%,+5.47%,2026-05-06
MDT,"Medtronic Inc",77.6,-0.19,-0.24%,11477418,21,-25.11%,+0.57%,2026-05-06
MIMI,"Mint Incorporation Limited Cl A",2.62,0.04,+1.55%,122800,11,-64.31%,+17.75%,2026-05-06
MKTX,"Marketaxess Holdings",148.84,-2.45,-1.62%,561400,10,-24.05%,+0.25%,2026-05-06
MKZR,"Mackenzie Realty Capital Inc",2.46,-0.07,-2.62%,21300,15,-41.85%,+2.93%,2026-05-06
MMSI,"Merit Medical Sys",61.63,1.19,+1.97%,1111500,21,-26.67%,+3.16%,2026-05-06
MNDO,"Mind C.T.I. Ltd",1.01,-0.04,-3.81%,54300,15,-21.70%,0.00%,2026-05-06
MNSO,"Miniso Group Holding Ltd ADR",14.83,0.2,+1.37%,374019,14,-25.03%,+2.42%,2026-05-06
MRP,"Millrose Properties Inc",28.19,-1.9,-6.31%,4346469,12,-13.51%,+5.11%,2026-05-06
MRSH,"Marsh & Mclennan Companies Inc",163.9,-3.37,-2.01%,3087747,4,-12.71%,+0.05%,2026-05-06
MTEK,"Maris-Tech Ltd",1.17,0,0.00%,160400,16,-58.51%,+8.33%,2026-05-06
MTR,"Mesa Royalty Trust",4.35,-0.16,-3.55%,9773,10,-25.39%,+3.57%,2026-05-06
MWA,"Mueller Water Products",27.14,-0.41,-1.49%,1740050,7,-12.45%,+1.61%,2026-05-06
MYGN,"Myriad Genetics Inc",4.11,-0.92,-18.29%,7459800,9,-28.02%,+9.60%,2026-05-06
NEOV,"Neovolta Inc",2.51,-0.07,-2.71%,460900,13,-44.84%,+5.46%,2026-05-06
NFG,"National Fuel Gas Company",81.51,-0.53,-0.65%,999593,6,-16.02%,+0.99%,2026-05-06
NOC,"Northrop Grumman Corp",559.6,1,+0.18%,772802,15,-27.70%,+1.51%,2026-05-06
NRP,"Natural Resource Partners LP",115.22,-2.66,-2.26%,121340,3,-10.40%,+9.25%,2026-05-06
NWTG,"Newton Golf Company Inc",1.23,0.16,+14.95%,291700,6,-31.67%,+20.58%,2026-05-06
ODYS,"Odysight.Ai Inc",4.51,-0.02,-0.44%,3000,13,-40.66%,+0.22%,2026-05-06
OIS,"Oil States International",8.91,-0.72,-7.48%,1766333,3,-38.55%,+1.60%,2026-05-06
OLOX,"Olenox Industries Inc",0.4608,-0.1312,-22.16%,635300,12,-78.96%,0.00%,2026-05-06
ONCO,"Onconetix Inc",0.45,-0.07,-13.46%,1431000,18,-95.16%,+4.34%,2026-05-06
OSIS,"O S I Systems Inc",240.27,5.53,+2.36%,477000,8,-22.92%,+6.79%,2026-05-06
PASG,"Passage Bio Inc",4.12,-0.15,-3.51%,189800,24,-65.81%,+2.74%,2026-05-06
PAVM,"Pavmed Inc",7.01,-1.04,-12.92%,18500,11,-38.18%,0.00%,2026-05-06
PCG,"Pacific Gas & Electric Company",16.2,-0.13,-0.80%,17553889,3,-15.43%,+1.25%,2026-05-06
PEN,"Penumbra Inc",324.19,0.32999999999998,+0.10%,341572,11,-5.90%,+0.34%,2026-05-06
PLMR,"Palomar Holdings Inc",110.75,-0.98,-0.88%,633300,6,-18.91%,+1.60%,2026-05-06
PMT,"Pennymac Mortgage Investment Trust",11.03,-1.1,-9.07%,3161265,6,-13.59%,+1.10%,2026-05-06
PNBK,"Patriot Natl Bncp",1.05,-0.04,-3.67%,391100,13,-30.00%,0.00%,2026-05-06
PODD,"Insulet Corp",151.28,-16.25,-9.70%,4460800,20,-45.01%,+2.01%,2026-05-06
POR,"Portland General Electric Company",48.82,-0.3,-0.61%,1469715,4,-10.62%,+0.76%,2026-05-06
PRIM,"Primoris Services Corp",101.23,-101.69,-50.11%,13165521,7,-50.74%,+3.20%,2026-05-06
PROP,"Prairie Operating CO",1.05,-0.15,-12.50%,4923000,15,-58.82%,0.00%,2026-05-06
PRT,"Permrock Royalty Trust Trust Units",2.68,-0.06,-2.19%,49064,17,-28.53%,+0.37%,2026-05-06
PTLO,"Portillo's Inc",4.49,-0.3,-6.17%,3750000,12,-32.88%,+0.22%,2026-05-06
QDEL,"Quidelortho Corp",10.96,-0.7,-6.00%,5473000,22,-64.07%,+7.35%,2026-05-06
RAIN,"Rain Enhancement Technologies Holdco Inc Cl A",1.88,-0.13,-6.47%,62200,5,-50.40%,+4.44%,2026-05-06
REE,"Ree Automotive Ltd Cl A",0.44,-0.029,-6.18%,85000,9,-39.24%,+2.33%,2026-05-06
